id,nome,ano,sinopse,genero
1,Super Mario Galaxy: O Filme,2026,"Depois de salvar o Reino dos Cogumelos, Mario e seus amigos se encontram em uma missão intergaláctica para deter um novo vilão ameaçador.",Família
2,Como Mágica,2026,Uma pequena criatura da floresta e um pássaro majestoso trocam de corpo e precisam se unir para sobreviver à aventura mais incrível de suas vidas.,Aventura
3,O Jogo do Predador,2026,"Uma mulher em luto embarca sozinha em uma aventura pela natureza selvagem da Austrália, mas acaba se envolvendo em um jogo cruel de gato e rato...",Ação
4,Malèna,2000,"Em 1941, numa pequena vila localizada na Sicília, um grupo de garotos de 13 anos de idade nutre uma profunda paixão por Malena (Monica Bellucci),...",Drama
5,Socorro!,2026,"Após um acidente aéreo, um chefe e uma funcionária que se odeiam são os únicos sobreviventes. Isolados numa ilha deserta, eles precisam decidir se...",Terror
6,O Diabo Veste Prada,2006,"Andrea Sachs é uma jovem que conseguiu um emprego na Runaway Magazine, a mais importante revista de moda de Nova York. Ela passa a trabalhar como...",Drama
7,Um Amor de Mentiras,2026,"Polina, uma estudante do ensino médio, é salva do bullying em sua nova escola e faz um acordo com o principal valentão, Bars: ele deve fingir ser...",Romance
8,Michael,2026,"A história da vida de Michael Jackson além da música, traçando sua jornada desde a descoberta de seu talento extraordinário como líder dos Jackson...",Música
9,"Cara de Um, Focinho de Outro",2026,Mabel é uma jovem amante da natureza que tenta impedir o prefeito Jerry de construir uma rodovia que destruirá suas florestas locais. Graças a um...,Aventura
10,Avatar: Fogo e Cinzas,2025,"Após a devastadora guerra contra a RDA e a perda de seu filho mais velho, Jake Sully e Neytiri enfrentam uma nova ameaça em Pandora: o Povo das...",Ficção
11,Mortal Kombat 2,2026,Os campeões favoritos dos fãs – agora acompanhados pelo próprio Johnny Cage – são colocados uns contra os outros numa sangrenta e derradeira...,Ação
12,Casamento Sangrento: A Viúva,2026,"A noiva retorna em uma nova e sinistra rodada do tradicional jogo de esconde-esconde, agora com elementos sobrenaturais e demoníacos.",Terror
13,O Diabo Veste Prada 2,2026,"Miranda Priestly navega por sua carreira em meio ao declínio das publicações tradicionais de revistas. Ela se confronta com Emily Charlton, sua...",Comédia
14,Meu Querido Assassino,2026,"Perseguida por ter um tipo sanguíneo raro, uma jovem encontra proteção nos braços de um assassino perigoso. Juntos, eles lutam para sobreviver.",Ação
15,Vingança Brutal,2026,"Quando sua esposa é brutalmente assassinada, Carlos Estrada, herói condecorado das forças especiais, passa a viver com apenas um propósito:...",Ação
16,Eles Vão te Matar,2026,"Uma mulher aceita um emprego como governanta em um arranha-céu de Nova York, sem saber da história de desaparecimentos do prédio. Ela logo percebe...",Ação
17,Hot Girls Wanted,2015,"Apresentado no Festival Sundance de Cinema de 2015, este documentário do produtor Rashida Jones investiga a indústria do pornô “amador” e as...",Documentário
18,Um Cabra Bom de Bola,2026,"Uma pequena cabra com grandes sonhos recebe uma oportunidade única na vida de se juntar aos profissionais e jogar berrobol, um esporte de alta...",Animação
19,A Lenda de Aang: O Último Mestre do Ar,2026,"O Avatar Aang, o último mestre do ar do mundo, toma conhecimento de um poder antigo que poderia salvar sua cultura da extinção. Com a ajuda de...",Animação
20,Devoradores de Estrelas,2026,O professor de ciências Ryland Grace acorda em uma espaçonave anos-luz de casa sem memória de quem ele é ou como chegou lá.,Ficção
21,POV: Presença Oculta,2026,"O que começou como uma chamada de rotina vira um pesadelo quando dois policiais se envolvem em um acidente fatal. Bryce, desesperado para proteger...",Terror
